rep_id,success,n_obs,event_rate,n_events,f_stat_naive,f_stat_cluster,n_clusters,gamma_hat,gamma_se,lambda_hat,gamma_ci_lo,gamma_ci_hi,gamma_covers_true,elapsed_sec
68,True,40000,0.0298,1192,37680.65014526649,93381.76480116899,32,0.46908951992984843,0.029699912094858377,0.3846556097899314,0.410877692223926,0.5273013476357709,True,40.94
69,True,40000,0.0297,1188,37295.97603579278,117251.68521727674,32,0.5416307477262455,0.03070487913628819,0.33229216949208157,0.4814491846191207,0.6018123108333704,True,41.22
70,True,40000,0.03065,1226,38324.09379154695,40519.68867538923,32,0.4997967760346022,0.029708775435493526,0.3216708938743483,0.4415675761810349,0.5580259758881695,True,41.32
71,True,40000,0.029875,1195,37776.64853643327,33650.72789727868,32,0.5372181281249575,0.02958469432547392,0.284892646256634,0.4792321272470286,0.5952041290028864,True,41.16
72,True,40000,0.03185,1274,37897.44723286587,104746.4322173109,32,0.4971507978498691,0.02928449317821909,0.3379661386694467,0.43975319122055967,0.5545484044791785,True,41.21
73,True,40000,0.029625,1185,37696.54288156557,50510.484795554104,32,0.487588559172401,0.03105633062194449,0.4021052074545205,0.42671815115338985,0.5484589671914122,True,41.14
74,True,40000,0.03045,1218,37566.66114423099,60172.44348323418,32,0.506999926595542,0.029979846776597867,0.3052453625685894,0.44823942691341023,0.5657604262776739,True,40.79
75,True,40000,0.0295,1180,37489.08777483875,73181.70945312691,32,0.4899984537073568,0.03052053328587437,0.3999744679504915,0.430178208467043,0.5498186989476705,True,41.41
76,True,40000,0.030175,1207,37015.22282974756,29842.398082365795,32,0.4889612266251449,0.03032461822772833,0.34710798541183335,0.4295249748987974,0.5483974783514924,True,41.18
77,True,40000,0.028925,1157,37694.617567918984,32965.626451098644,32,0.49954103452506665,0.03027513370862083,0.38338673757759467,0.4402017724561698,0.5588802965939634,True,41.29
78,True,40000,0.029025,1161,37550.221725962154,53623.34505465792,32,0.5831189740557389,0.03102039933712104,0.3198813851415363,0.5223189913549816,0.6439189567564961,False,41.27
79,True,40000,0.02985,1194,37258.70097437725,41395.70995745967,32,0.47143418888745797,0.030110825887832215,0.41185582968162776,0.4124169701473068,0.5304514076276091,True,41.22
80,True,40000,0.030075,1203,37741.35133828101,42061.25762770912,32,0.46541535693579705,0.029661862278980437,0.3327633400465022,0.4072781068689954,0.5235526070025988,True,41.16
