source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2663,D,2025,2.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,E,2025,3.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,F,2025,4.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,G,2025,5.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,H,2025,6.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,I,2025,7.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,J,2025,8.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,K,2025,9.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,L,2025,10.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,M,2025,11.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,N,2025,12.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,C,2025,1.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,339819.01,339819.01,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,D,2025,2.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,320679.08,320679.08,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,E,2025,3.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,160280.66,160280.66,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,F,2025,4.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,125654.47,125654.47,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2664,G,2025,5.0,monthly,federal_district,Дальневосточный федеральный округ,,Олени северные,01.49.19.110,145048.26,145048.26,observed,end_of_period,RUB/ton
